序号,视频编码(BV号),视频标题,发布时间,播放量,时长,分区,合集/系列,视频链接
233,BV1d64y1U7rz,【主义主义】无为主义（2-2-2-1）——老子的哲学,2021-04-06,77371,51:29,人文历史,,https://www.bilibili.com/video/BV1d64y1U7rz
236,BV1gK4y1m7vV,【主义主义】积极的神秘主义（2-2-2-2）——庄子的哲学,2021-04-08,68836,16:49,人文历史,,https://www.bilibili.com/video/BV1gK4y1m7vV
239,BV12B4y1w7MY,【主义主义】人道的自然主义（2-2-2-3）——杨朱：“拔一毛而利天下，弗为也”,2021-04-09,40935,29:00,人文历史,,https://www.bilibili.com/video/BV12B4y1w7MY
240,BV17U4y1h7Gx,【主义主义】实用的神秘主义（2-2-2-4）——韩非子的道家魔法，战国顶级贵族子弟接受的神秘学教育,2021-04-10,48913,57:13,人文历史,,https://www.bilibili.com/video/BV17U4y1h7Gx
241,BV1pK411F7F7,【主义主义】超验主义（2-2-3）——辩证形而上学的荣耀：为个体带来心灵解脱，为共同体激发“国运”,2021-04-10,38963,46:17,人文历史,,https://www.bilibili.com/video/BV1pK411F7F7
243,BV1154y1b7Bb,【主义主义】历史符号主义（2-2-3-1）——以《周易》为代表的形而上学范式,2021-04-12,63921,54:08,人文历史,,https://www.bilibili.com/video/BV1154y1b7Bb
244,BV17h411U7aA,【主义主义】形而上神秘主义（2-2-3-2）——手把手教你用哲学识破那些看似精巧的神秘主义形而上学大厦,2021-04-12,43952,25:52,人文历史,,https://www.bilibili.com/video/BV17h411U7aA
245,BV1Ri4y1w7eU,【主义主义】理性唯灵论（2-2-3-3）——三流诗人为现代社会炮制的拧绳形而上学；音乐的形而上学结构,2021-04-13,27499,51:06,人文历史,,https://www.bilibili.com/video/BV1Ri4y1w7eU
246,BV1oA41157Pn,【主义主义】诗的形而上学（2-2-3-4）——用哲学破解诗歌的奥秘，每首诗都是一个微型形而上学体系,2021-04-14,42456,48:23,人文历史,,https://www.bilibili.com/video/BV1oA41157Pn
247,BV1Xh411U74z,【主义主义】反二元对立（2-2-4）：哲学极速上手秘籍，手把手教你进行真正的哲学思考，随时随地搭建形而上学矩阵进行哲学运思,2021-04-16,71347,40:51,人文历史,,https://www.bilibili.com/video/BV1Xh411U74z
248,BV14v41177kC,【主义主义】龙树《中论》讲解——具有伦理热忱的虚无主义（2-2-4-1）：龙树如何破除二元（三元/四元）对立,2021-04-16,81069,108:43,人文历史,,https://www.bilibili.com/video/BV14v41177kC
249,BV1mp4y1t7YA,【主义主义】可辩的道德箴言（2-2-4-2）——塔木德的形而上学结构，犹太人睿智的伦理热忱,2021-04-18,24692,49:29,人文历史,,https://www.bilibili.com/video/BV1mp4y1t7YA
250,BV1fp4y1t7Bo,【主义主义】新实用主义（2-2-4-3）——理查德罗蒂：用真诚代替真理，用修辞代替神话,2021-04-18,29663,51:58,人文历史,,https://www.bilibili.com/video/BV1fp4y1t7Bo
